codigo_ramo,nombre_ramo,codigo_prerrequisito,nombre_prerrequisito,tipo,fuente_archivo,evidencia_textual,confianza
AEA513,Marketing de Servicios,AEA503,Marketing Estratégico,Prerrequisito,documentos/semestre_06/06_AEA513_marketing_de_servicios.pdf,"dad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE, ON-LINE Requisito ( AEA503 y AEA364 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA982,Gestión del Cambio Organizacional,AEA605,Dirección Estratégica de RRHH,Prerrequisito,documentos/semestre_07/07_AEA982_gestion_del_cambio_organizacional.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA602 )o ( AEA605 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA325,Dirección Estratégica,AEA240,Emprendimiento y Negocios,Prerrequisito,documentos/semestre_07/07_AEA325_direccion_estrategica.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA240 y AEA503 y AEA320 y AEA315 )o ( EIN970 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA325,Dirección Estratégica,AEA315,Microeconomía II,Prerrequisito,documentos/semestre_07/07_AEA325_direccion_estrategica.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA240 y AEA503 y AEA320 y AEA315 )o ( EIN970 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA325,Dirección Estratégica,AEA320,Fundamentos de Estrategia,Prerrequisito,documentos/semestre_07/07_AEA325_direccion_estrategica.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA240 y AEA503 y AEA320 y AEA315 )o ( EIN970 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA325,Dirección Estratégica,AEA503,Marketing Estratégico,Prerrequisito,documentos/semestre_07/07_AEA325_direccion_estrategica.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA240 y AEA503 y AEA320 y AEA315 )o ( EIN970 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA417,Macroeconomía II,AEA316,Macroeconomía I,Prerrequisito,documentos/semestre_07/07_AEA417_macroeconomia_ii.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA316 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA555,Preparación y Evaluación de Proyectos,AEA214,Microeconomía I,Prerrequisito,documentos/semestre_07/07_AEA555_preparacion_y_evaluacion_de_proyectos.pdf,"a E-SUPPORT Régimen Asignatura DIURNO, VESPERTINO, EXECUTIVE, ON-LINE Requisito ( AEA503 y AEA504 )o ( AEA145 o AEA104 o AEA214 o EIN105 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA555,Preparación y Evaluación de Proyectos,AEA503,Marketing Estratégico,Prerrequisito,documentos/semestre_07/07_AEA555_preparacion_y_evaluacion_de_proyectos.pdf,"a E-SUPPORT Régimen Asignatura DIURNO, VESPERTINO, EXECUTIVE, ON-LINE Requisito ( AEA503 y AEA504 )o ( AEA145 o AEA104 o AEA214 o EIN105 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA555,Preparación y Evaluación de Proyectos,AEA504,Introducción a las Finanzas,Prerrequisito,documentos/semestre_07/07_AEA555_preparacion_y_evaluacion_de_proyectos.pdf,"a E-SUPPORT Régimen Asignatura DIURNO, VESPERTINO, EXECUTIVE, ON-LINE Requisito ( AEA503 y AEA504 )o ( AEA145 o AEA104 o AEA214 o EIN105 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
AEA891,Comercio Internacional,AEA320,Fundamentos de Estrategia,Prerrequisito,documentos/semestre_07/07_AEA891_comercio_internacional.pdf,"23 Modalidad Educativa E-SUPPORT Régimen Asignatura DIURNO, EXECUTIVE Requisito ( AEA320 o AEA291 o AEA300 ) DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA Cátedra Laboratorio Ayudantía Taller Práctic",Alta
