codigo_ramo,nombre_ramo,codigo_prerrequisito,nombre_prerrequisito,tipo,fuente_archivo,evidencia_textual,confianza
AEA555,Preparación y Evaluación de Proyectos,AEA503,Marketing Estratégico,Prerrequisito,documentos/semestre_07/07_AEA555_preparacion_y_evaluacion_de_proyectos.pdf,Requisito: AEA503 y AEA504 )o ( AEA145 o AEA104 o AEA214 o EIN105,Alta
AEA555,Preparación y Evaluación de Proyectos,AEA504,Introducción a las Finanzas,Prerrequisito,documentos/semestre_07/07_AEA555_preparacion_y_evaluacion_de_proyectos.pdf,Requisito: AEA503 y AEA504 )o ( AEA145 o AEA104 o AEA214 o EIN105,Alta
AEA891,Comercio Internacional,AEA320,Fundamentos de Estrategia,Prerrequisito,documentos/semestre_07/07_AEA891_comercio_internacional.pdf,Requisito: AEA320 o AEA291 o AEA300,Alta
AEA893,Investigación de Mercados,AEA364,Marketing Operacional,Prerrequisito,documentos/semestre_08/08_AEA893_investigacion_de_mercados.pdf,Requisito: AEA364 y AEA503 y AEA425 )o ( TUR292,Alta
AEA893,Investigación de Mercados,AEA425,Econometría,Prerrequisito,documentos/semestre_08/08_AEA893_investigacion_de_mercados.pdf,Requisito: AEA364 y AEA503 y AEA425 )o ( TUR292,Alta
AEA893,Investigación de Mercados,AEA503,Marketing Estratégico,Prerrequisito,documentos/semestre_08/08_AEA893_investigacion_de_mercados.pdf,Requisito: AEA364 y AEA503 y AEA425 )o ( TUR292,Alta
AEA530,Negociación y Resolución de Conflictos,AEA315,Microeconomía II,Prerrequisito,documentos/semestre_08/08_AEA530_negociacion_y_resolucion_de_conflictos.pdf,Requisito: AEA315,Alta
AEA790,Control de Gestión,AEA320,Fundamentos de Estrategia,Prerrequisito,documentos/semestre_08/08_AEA790_control_de_gestion.pdf,Requisito: AEA320 y AEA605 )o ( AEA225,Alta
AEA790,Control de Gestión,AEA605,Dirección Estratégica de RRHH,Prerrequisito,documentos/semestre_08/08_AEA790_control_de_gestion.pdf,Requisito: AEA320 y AEA605 )o ( AEA225,Alta
EIN813,Administración de la Producción,AEA325,Dirección Estratégica,Prerrequisito,documentos/semestre_08/08_EIN813_administracion_de_la_produccion.pdf,Requisito: MAT333 )o ( AEA325 )o ( EIN810 )o ( MIN815,Alta
EIN813,Administración de la Producción,EIN810,Gestión de la Calidad,Prerrequisito,documentos/semestre_08/08_EIN813_administracion_de_la_produccion.pdf,Requisito: MAT333 )o ( AEA325 )o ( EIN810 )o ( MIN815,Alta
AEA694,Finanzas Corporativas,AEA504,Introducción a las Finanzas,Prerrequisito,documentos/semestre_08/08_AEA694_finanzas_corporativas.pdf,Requisito: AEA504,Alta
AEA940,Economía para Políticas Públicas,AEA316,Macroeconomía I,Prerrequisito,documentos/semestre_09/09_AEA940_economia_para_politicas_publicas.pdf,Requisito: AEA316,Alta
AEA980,Taller de Consultoría,AEA503,Marketing Estratégico,Prerrequisito,documentos/semestre_09/09_AEA980_taller_de_consultoria.pdf,Requisito: AEA504 y AEA555 y AEA503,Alta
AEA980,Taller de Consultoría,AEA504,Introducción a las Finanzas,Prerrequisito,documentos/semestre_09/09_AEA980_taller_de_consultoria.pdf,Requisito: AEA504 y AEA555 y AEA503,Alta
AEA980,Taller de Consultoría,AEA555,Preparación y Evaluación de Proyectos,Prerrequisito,documentos/semestre_09/09_AEA980_taller_de_consultoria.pdf,Requisito: AEA504 y AEA555 y AEA503,Alta
AEA920,Gestión de Empresas de Nuevos Negocios,AEA240,Emprendimiento y Negocios,Prerrequisito,documentos/semestre_09/09_AEA920_gestion_de_empresas_de_nuevos_negocios.pdf,Requisito: AEA240,Alta
